category,link to the article
https://www.alexa.com/covid-19/remote-education,https://catlintucker.com/2020/03/3-ways-to-use-video-conferencing/
https://www.alexa.com/covid-19/remote-education,https://www.edutopia.org/article/why-are-some-kids-thriving-during-remote-learning
https://www.alexa.com/covid-19/remote-education,https://www.gov.uk/government/publications/coronavirus-covid-19-online-education-resources/coronavirus-covid-19-list-of-online-education-resources-for-home-education
https://www.alexa.com/covid-19/remote-education,https://www.gov.uk/government/news/new-major-package-to-support-online-learning
https://www.alexa.com/covid-19/remote-education,https://blog.flipgrid.com/remotelearning
https://www.alexa.com/covid-19/remote-education,https://georgecouros.ca/blog/archives/11545
https://www.alexa.com/covid-19/remote-education,https://er.educause.edu/articles/2020/3/the-difference-between-emergency-remote-teaching-and-online-learning
https://www.alexa.com/covid-19/remote-education,https://www.harvard.edu/coronavirus
https://www.alexa.com/covid-19/remote-education,https://blog.valohai.com/remote-work-for-machine-learning?utm_content=121343600&utm_medium=social&utm_source=twitter&hss_channel=tw-785418483685294080
https://www.alexa.com/covid-19/remote-education,https://www.qualtrics.com/here-to-help/
https://www.alexa.com/covid-19/remote-education,https://catlintucker.com/2020/03/3-ways-to-use-video-conferencing/
https://www.alexa.com/covid-19/supply-shortages,https://www.washingtonpost.com/national/coronavirus-protective-gear-stockpile-depleted/2020/04/01/44d6592a-741f-11ea-ae50-7148009252e3_story.html
https://www.alexa.com/covid-19/supply-shortages,https://www.texastribune.org/2020/03/13/coronavirus-and-toilet-paper-texas-residents-rushing-grocery-stores/?utm_campaign=trib-social&utm_content=1584140739&utm_medium=social&utm_source=twitter
https://www.alexa.com/covid-19/supply-shortages,https://www.bbc.co.uk/news/newsbeat-52440641
https://www.alexa.com/covid-19/supply-shortages,https://www.rnz.co.nz/news/world/414362/shopper-who-used-team-to-stockpile-10k-of-toilet-paper-sanitiser-refused-refund
https://www.alexa.com/covid-19/supply-shortages,https://globalnews.ca/news/6858818/coronavirus-china-united-front-canada-protective-equipment-shortage/
https://www.alexa.com/covid-19/supply-shortages,https://www.bloomberg.com/news/articles/2020-03-18/hospital-makes-face-masks-covid-19-shields-from-office-supplies
https://www.alexa.com/covid-19/supply-shortages,https://www.kxxv.com/your-hometown/texas/gov-abbott-waives-laws-to-allow-trucks-from-alcohol-industry-to-deliver-grocery-supplies
https://www.alexa.com/covid-19/supply-shortages,https://abcnews.go.com/US/coronavirus-live-updates-us-surpasses-65000-covid-19/story?id=70467380
https://www.alexa.com/covid-19/supply-shortages,https://townhall.com/tipsheet/bronsonstocking/2020/04/04/nevada-governor-found-hoarding-hydroxychloroquine-after-restricting-access-to-the-drug-n2566360
https://www.alexa.com/covid-19/exercise-at-home,https://wwwnc.cdc.gov/eid/article/26/8/20-0633_article
https://www.alexa.com/covid-19/exercise-at-home,http://fixmyquarantine.com/
https://www.alexa.com/covid-19/exercise-at-home,https://www.abc.net.au/news/2020-03-25/coronavirus-cruise-ship-quarantine-zone-for-rottnest-island/12089394
https://www.alexa.com/covid-19/exercise-at-home,https://www.koreaboo.com/stories/gfriends-yuju-makes-fans-gasp-in-awe-flexibility-quarantined/
https://www.alexa.com/covid-19/exercise-at-home,https://www.cullmantimes.com/news/local-fitness-instructor-going-global-with-youtube-channel/article_7cd31af0-8439-11ea-800d-abdd918fe952.html#utm_campaign=blox&utm_source=twitter&utm_medium=social
https://www.alexa.com/covid-19/exercise-at-home,https://us.hola.com/health-and-beauty/20200315flkvx6kz5u/coronavirus-spain-lockdown-fitness-class-rooftop-video
